HorseID,HorseName,YearOfBirth,Sex,PrizeMoney,SireID,DamID,Starts,Wins,Seconds,Thirds
2591940,RYLEA LASS,2013,F,71788,125744,1669410,6,2,0,0
2592782,NEAPOLITAN,2013,M,74400,2383365,1672078,9,2,2,1
2592838,LOVE SPY,2013,M,172750,2407396,2464086,6,2,0,1
2593034,CLARO EL BANCO,2013,G,166440,1600574,1700909,10,1,0,2
2593105,MISS AMAJARDAN,2013,F,115680,2442043,2460190,6,2,0,2
2593155,GREYT START,2013,F,60200,2366912,6838,6,2,0,0
2593184,HAPPY EVENT,2013,F,164300,2466740,262234,10,3,2,2
2595077,DEFCON,2013,C,368250,33335,2155719,7,2,2,0
2595095,NICCOLANCE,2013,G,251660,2342890,2350876,8,2,2,0
2595097,VOLPINO,2013,G,144885,2592662,2595096,10,2,1,2
2595142,FRENCH FERN,2013,F,266600,2560709,1710013,7,2,0,1
2595150,PURRARI,2013,M,77425,1459209,2359773,6,2,1,0
2595156,CAPITALIST,2013,C,3545900,1647734,2336851,7,4,1,1
2595197,THE SEDUCTRESS,2013,M,117650,1628857,2379315,9,2,0,1
2595201,PEARL CONGENIAL,2013,F,111400,2595200,2345143,10,2,1,2
2595588,DIETERS,2013,G,134950,1647734,2197927,6,2,0,0
2597080,BANGS,2013,F,82100,269852,2597079,7,1,3,0
2597170,YANKEE ROSE,2013,M,2043700,2325324,2332440,10,4,2,1
2597377,SIKANDARABAD,2013,G,53011,264184,2595978,7,1,2,1
2597695,MR GARCIA,2013,G,195351,2310566,2069855,9,4,0,1
2597930,SIMANNKA,2013,M,78498,2344984,2597929,9,3,2,2
2598361,SUBMISSIVE,2013,F,55335,1483835,2445911,8,2,1,1
2598859,PRIZE MONEY,2013,G,988777,2151594,242701,7,2,1,0
2599162,OUR TIME WILL COME,2013,F,152600,264077,2156908,8,2,1,1
2599239,ISTHMIAN,2013,F,78216,2170124,2490836,9,4,0,0
2599298,RAFHA'S CHOICE,2013,G,99900,2170124,2450711,6,2,0,0
2599460,CHIPANDA,2013,F,114225,2471331,2154863,10,1,0,2
2599467,MATE STORY,2013,G,112770,2375148,2329116,10,3,0,2
2599619,EMTEVEE QUEEN,2013,F,58500,183468,1682793,5,2,0,1
2599735,THYME FOR ROSES,2013,F,139275,147271,2320268,5,2,0,0
2600495,INFRA DIG,2013,F,147000,55191,2335214,9,3,1,2
2600498,TELPERION,2013,C,482100,1483835,2474382,5,1,1,1
2600499,RETALIATION,2013,G,57585,1689806,2457361,8,2,0,1
2601740,POWER TRIP,2013,G,184825,2161466,2192767,8,1,0,0
2601748,GLORIETTE,2013,F,60575,100059,2314327,8,1,1,3
2601992,RATA TAT TAT,2013,G,57225,1606661,2601991,6,1,1,0
2602009,SASSY 'N' SMART,2013,F,61060,2470789,2404689,7,2,1,0
2602431,SIXTIES GROOVE,2013,G,106786,2142437,2602430,9,2,1,0
2602488,SAYROTHY,2013,G,126300,2405283,2571059,7,6,0,1
2602494,RUBY REMEDY,2013,F,75400,1654041,2554089,9,3,0,0
2603010,PEEKING DUCK,2013,F,93200,1627686,1649655,6,2,1,0
2603011,POP,2013,F,61675,2454569,2444594,8,1,1,0
2603079,MOOSHAKISSA,2013,F,106735,2329140,2402338,6,1,1,1
2603270,FLYING ARTIE,2013,C,1281000,1590168,2204985,6,3,2,1
2603290,ROCKABYEBABY,2013,M,54310,2355495,2401640,9,4,0,1
2603413,LESSYD,2013,G,124075,1600574,2603412,8,1,1,2
2603625,BIODYNAMIC,2013,G,55918,2201033,2089305,9,1,0,1
2603810,ZELADY'S NIGHT OUT,2013,F,206850,2198175,203575,6,3,0,0
2603826,SOVIET SECRET,2013,F,145500,1556339,2207163,9,1,3,1
2604105,DAWN RAID,2013,G,56705,264201,2333519,9,3,1,2
2604318,THE LAST KISS,2013,F,54300,2327559,2575197,10,2,0,0
2604473,DEMOLITION,2013,G,87600,1483835,2357263,8,3,0,2
2604509,RED VERDON,2013,H,395371,1442448,2604508,9,2,2,0
2604643,EVERY CHANCE,2013,C,55635,2471331,1678132,8,1,3,1
2604797,ASTERN,2013,C,1179050,1541719,2374902,8,5,2,0
2604873,SAMARA DANCER,2013,F,185000,2442043,2149546,8,2,1,1
2605153,RADCLIFFE,2013,G,55435,100059,2159276,8,1,0,2
2605159,SO SERENE,2013,F,106940,55191,2459459,8,1,1,0
2605169,TENAPPY LADIES,2013,H,73765,33335,2427637,9,3,2,0
2605170,WINNING RUPERT,2013,C,579500,1647734,1678148,5,5,0,0
2605336,TREVISO,2013,G,61305,1628857,1702346,7,2,1,2
2605427,HELL OF AN EFFORT,2013,G,125900,2402201,256296,8,3,0,0
2605634,GUEST EXPRESS,2013,G,67155,2594465,2470366,7,1,1,1
2605640,I AM BOUDICA,2013,F,192900,1472498,2512509,5,2,0,1
2605689,DIVINE PROPHET,2013,C,880525,33335,141009,9,3,1,1
2605693,EXTREME CHOICE,2013,C,1736250,266753,2415110,7,4,0,1
2606244,SCARLET RAIN,2013,F,341375,2400910,2480845,7,4,1,0
2606249,MEGA MALL,2013,M,102475,1651572,2606248,10,3,2,0
2606250,SKYLIGHT GLOW,2013,M,206555,2338799,2457837,10,2,1,2
2606260,FARSON,2013,G,219005,1628857,260795,6,4,0,0
2606326,SMART MANOEUVRE,2013,F,84800,2470789,2405295,10,1,2,2
2606339,BELOSO,2013,G,93900,2405283,2546322,8,2,1,0
2606620,MONGOLIAN FALCON,2013,C,128250,264216,1534288,8,3,2,2
2606803,GOLD RUSH,2013,F,69850,2414817,2374024,6,1,1,0
2607007,WANT TO ROCK,2013,F,110450,2375148,2370967,7,2,0,0
2607072,HONESTY PREVAILS,2013,F,240375,147271,2338792,5,1,0,0
2607076,DIPLOMACIA,2013,F,54135,1590168,43131,9,2,2,2
2607283,COCOEXCEL,2013,M,89120,55191,2370966,9,3,1,0
2607288,BROODWAR,2013,M,56535,254898,2314310,10,2,1,1
2607298,MALAIGO,2013,G,53240,1689806,157799,9,2,3,0
2607367,UGO FOSCOLO,2013,G,375212,2598704,2368060,8,5,0,0
2607371,NAJMAAT,2013,F,65750,2442043,2386245,7,1,0,1
2607741,GRIDELIN,2013,F,89585,2201033,180231,7,2,3,0
2607974,SILENT SEA,2013,M,54405,2594450,2087541,10,1,5,1
2607976,PIRAPALA,2013,M,50670,2471331,2483950,7,2,0,2
2608115,CAPANNELLO,2013,G,125800,2370461,2379227,9,2,1,0
2608117,MAGNAROCK,2013,G,50595,1658308,2579800,10,1,1,1
2608121,PEDRENA,2013,M,315200,116099,2446012,10,5,3,0
2608223,IMPERIAL VENUS,2013,G,55840,2494126,267738,9,3,0,1
2608314,MAGICALEASE,2013,G,63700,103686,2156842,7,3,1,0
2608323,NEVER BE DISCREET,2013,F,56050,55191,162041,8,2,2,2
2608324,SERENELY DISCREET,2013,M,213500,55191,2421215,8,3,0,1
2608344,LA MOULINE,2013,M,149985,2560661,2177240,8,5,1,2
2608474,MISS DEBUTANTE,2013,M,202210,264216,2608473,8,4,0,1
2608483,SEBRARIAN,2013,G,52200,2327559,2153662,9,1,1,1
2608485,MAN FROM UNCLE,2013,G,398050,2595608,2477069,7,3,1,1
2608495,TURF TAPPER,2013,G,59185,2466740,2354714,6,3,1,0
2608496,ROCK AND SWING,2013,H,53075,264216,1322174,10,1,0,1
2608591,BRING CHEER,2013,M,59125,2327559,1634901,7,3,1,0
2608594,MEDITERRANEAN,2013,G,105925,2470789,255537,9,1,1,0
2608599,AVIATOR,2013,G,64075,1628857,51279,8,2,0,0
2608617,HIGH CONVICTION,2013,F,171200,1628857,1687988,5,3,0,1
2608731,GRATWICK,2013,G,141800,2402201,2608730,9,2,1,5
2608734,FUSE,2013,G,52895,2470789,206625,10,1,1,0
2608736,SEGOVIA,2013,G,51190,2457906,2463922,9,1,1,4
2608861,LIFE'S REWARD,2013,G,69190,2402201,2608860,9,1,1,2
2608946,LADY DANE,2013,M,57305,263440,94616,5,1,1,1
2608947,VIATRIX,2013,F,67485,1590168,194589,10,2,4,0
2608955,HONEYWINE,2013,G,77795,1483835,1701274,10,1,1,0
2608959,OBSCURA,2013,G,75900,1483835,217744,8,2,1,2
2608972,ROYAL COMMAND,2013,G,99050,1710543,268549,7,3,1,1
2608979,STOICISM,2013,G,109325,116099,34949,10,3,1,1
2608982,SKY ATLAS,2013,G,53730,2147567,2208425,8,3,1,2
2609290,DIDDUMS,2013,M,213380,1628857,1671078,10,4,2,1
2609302,MILITARY MACHINE,2013,G,71880,116099,2454714,7,2,1,0
