JockeyID,JockeyName,RidesMetro,WinsMetro,Place2Metro,Place3Metro
1,A ABRAHAMS,,,,
28,S APTHORPE,86,0,3,4
56,J BALDOCK,52,1,2,4
65,A BANKS,575,53,47,46
138,G BOSS,9867,1108,1019,1034
176,G BUCKLEY,3417,174,181,270
202,J BYRNE,6557,836,781,738
204,M CAHILL,,,,
211,N CALLOW,2010,306,265,212
272,G COLLESS,4128,595,576,453
328,P CULLEN,17,0,0,3
330,I CULLIVER,600,22,19,36
372,J DICKINSON,9,0,0,1
419,D DUNN,9229,943,909,919
438,F EDWARDS,2,0,0,1
469,J FELIX,47,1,7,2
494,K FORRESTER,,,,
523,S GALLOWAY,4074,369,355,394
533,G GERAN,639,44,57,40
563,P GRAHAM,99,3,5,8
577,J GRISEDALE,1966,99,113,141
583,P HALL,703,72,72,61
613,P HARVEY,,,,
619,M HEAGNEY,1315,52,67,70
641,J HODGE,,,,
655,J HOOPERT,51,0,4,1
739,J KEATING,770,53,43,65
777,MARTIN LANE,,,,
784,A LAYT,391,15,10,18
785,G LEE,475,34,41,38
862,J MAUND,5554,295,376,402
1004,S O'DONNELL,,,,
1010,D OLIVER,9814,1607,1282,1118
1051,J PENZA,1851,84,109,150
1053,N PERRYMAN,162,7,14,9
1080,S PRICE,7873,813,762,755
1123,O RIDGE,2639,112,147,163
1233,D SIMMONS,10,0,3,2
1262,N SOUQUET,264,41,25,19
1268,A SPINKS,560,26,24,35
1333,R THOMPSON,1587,133,152,139
1340,S THURLOW,280,19,20,21
1467,S WILSON,4,0,0,0
1490,D YENDALL,1427,101,113,133
1553,M A CAHILL,1060,88,92,76
1631,T J GREEN,,,,
1769,C A ROBERTSON,476,29,34,41
1772,A G ROBINSON,1575,100,121,107
1981,TODD PANNELL,,,,
2168,D G BRADLEY,315,63,55,29
2205,C G O'BRIEN,,,,
2218,N TOMIZAWA,1197,79,75,87
2474,C E LAMMAS,125,23,15,14
2532,B N STEWART,225,26,29,21
3040,N THOMAS,217,5,13,10
3121,J BENBOW,1392,103,106,118
3212,J BROWN,,,,
3276,N SEYMOUR,864,73,76,58
3371,J MISSEN,175,3,3,9
3610,P KNUCKEY,,,,
3637,P CARBERY,,,,
3657,MS K O'HARA,1471,97,115,132
3659,MS N BERIMAN,354,38,25,30
3891,D WHYTE,,,,
3959,J L TAYLOR,,,,
3983,S CAHILL,2151,277,262,222
3995,L CURRIE,2478,201,197,191
4035,S MEERES,,,,
4286,MS B MATHIESON,202,3,2,14
4373,B RAWILLER,1880,239,248,194
4389,D TOURNEUR,2206,168,191,202
4394,S W ARNOLD,4050,537,441,413
4537,P T HOLMES,81,11,10,8
4564,J BOWDITCH,4942,476,442,490
4877,T TURNER,,,,
5010,MS H MC KECHNIE,,,,
5049,C SPRY,1227,88,85,73
5247,J BOWMAN,121,5,17,11
5316,C NEWITT,3515,363,373,344
5328,A DARMANIN,674,43,52,62
5622,K ST VINCENT,,,,
5630,G L COOKSLEY,,,,
5705,J FORD,2641,195,206,257
5792,MS B THOMSON,12,0,2,3
5833,UNKNOWN,,,,
5846,DANIEL GRIFFIN,,,,
5913,C W JOHNSON,263,48,28,39
6196,C DWYER,26,0,0,1
6489,C REITH,2047,140,161,181
6519,M J WALKER,1962,227,189,186
6918,V DURIC,3937,286,325,346
6941,S POLLARD,1237,62,78,78
6944,S C SPRATT,,,,
7089,M J BARNHAM,,,,
7155,G L SMITH,471,65,56,45
7190,MS C PULS,267,9,19,18
7364,MITCHELL BELL,,,,
7386,B P WARD,,,,
7741,C W BROWN,3497,384,373,328
7776,M TRAVERS,91,1,6,8
7882,Z PURTON,3891,438,406,421
7910,P HAMMERSLEY,1294,127,124,128
8084,B R JONES,,,,
8139,R BREWER,1070,67,83,96
8140,B PENGELLY,2915,284,264,268
8150,L R DITTMAN,,,,
8182,N DAY,1566,105,103,116
8232,R SPOKES,11,0,1,0
8369,M ZAHRA,0,0,0,0
8382,J K RIDDELL,,,,
8387,R MC LEOD,0,0,0,0
8534,J KEHOE,3,0,0,0
8586,THOMAS SADLER,,,,
8624,M J ALLEN,0,0,0,0
8675,M PAGET,1186,94,109,103
8783,P GATT,5445,669,602,596
8790,W PIKE,,,,
9074,J P SPENCER,,,,
9254,O P BOSSON,1108,182,130,131
9357,L NOLEN,2869,305,279,282
9528,T D THORNTON,,,,
9563,S PARNHAM,,,,
9570,B CLARIDGE,1736,118,123,161
10041,MR M SCORSE,,,,
10254,T TREICHEL,485,29,29,39
10318,A GIBBONS,1018,51,59,55
10324,MS J PAYNE,,,,
10398,A KAJIYA,,,,
10441,B PREBBLE,8554,1076,975,897
10442,S MC GRUDDY,,,,
11124,M BENNETT,350,34,28,29
11261,MS T O'HARA,148,5,11,3
11357,G SCHOFIELD,2789,246,242,274
11450,L CAMILLERI,2287,177,196,196
11501,D STAECK,,,,
11585,MS R FREEMAN-KEY,164,14,13,17
11638,O PESLIER,,,,
11752,M RODD,3049,378,363,293
11762,T BAKER,1534,158,172,124
11772,D SCHMITT,145,10,6,13
11844,MS YOKO OTA,,,,
12118,R BENSLEY,66,1,4,4
12231,M R DU PLESSIS,167,25,27,19
12676,M D HILLS,,,,
12727,MS S METCALFE,,,,
12822,TAYLOR MARSHALL,,,,
12978,D J BROWNE,,,,
12985,RON STEWART,,,,
13213,J C BATES,569,47,38,55
13401,M NEILSON,2510,289,308,272
13431,J POTTER,,,,
13467,D MC LELLAN,,,,
13484,R FRADD,12,2,2,1
13539,MS E WEISZBACH,29,2,2,3
13764,MS S JOHNSON,,,,
13893,J D LAKING,46,10,8,3
14041,G M RYAN,4,0,0,0
14278,K MC EVOY,4,0,0,0
14309,J HOLDER,6412,787,792,691
14387,D HAYSE,429,39,28,32
14451,MS L G HENRY,219,10,18,19
14489,MS C LINDOP,3926,429,395,406
14953,V A COLGAN,416,75,65,43
15156,C WHITELEY,574,52,45,53
15221,M PEGUS,1421,126,148,156
15370,D A EVANS,,,,
15767,DALE SMITH,1697,86,85,117
15956,S PATEMAN,0,0,0,0
16108,MS T CHAMBERS,12,1,1,2
16144,K YOSHIDA,618,46,41,49
16146,E A WILKINSON,,,,
16381,B EL-ISSA,978,64,79,79
16436,J FANNING,,,,
16457,MS L J MEECH,,,,
16585,R WIGGINS,777,51,68,62
16599,J A HEFFERNAN,,,,
16839,MS R PALMER,,,,
16991,J LORENSINI,2189,227,247,223
17115,M T COLEMAN,820,128,120,116
17262,J LLOYD,587,69,71,68
17273,M SHIMODAIRA,,,,
17335,JUSTIN P STANLEY,1569,118,113,117
17342,P KING,10490,999,1031,1050
17343,J WHITING,,,,
17609,C LEVER,3568,423,379,351
17694,BRANDON STOCKDALE,,,,
17778,R J HANNAM,,,,
18157,M P FRETHEY,164,5,6,13
18239,M GRAY,,,,
18302,BRENDON DAVIS,,,,
18332,G MOSSE,,,,
18333,CRAIG WILLIAMS,,,,
18699,S TSAIKOS,358,50,18,24
18736,S BASTER,6907,601,585,591
19076,J WINKS,814,64,72,69
19147,CHRIS SYMONS,,,,
19152,L G INNES,,,,
19331,R J AGNEW,28,2,3,5
19531,J L WADDELL,,,,
19721,JAMES DOYLE,,,,
19863,C STAPLES,0,0,0,0
19960,N EVANS,305,15,19,16
20295,COREY BROWN,,,,
20413,SHANNON DOYLE,,,,
20582,B MC COULL,0,0,0,0
20605,J INNES JNR,,,,
20768,MS MICHELLE PAYNE,804,57,57,61
20866,L J ALLPRESS,837,58,70,71
20870,RYAN MALONEY,,,,
20929,MICHAEL GUTHRIE,,,,
21007,B SHINN,3157,358,341,351
21036,M J MC NAB,,,,
21053,MS K BELL-PITOMAC,,,,
21153,M CAMERON,43,5,5,8
21158,D MOOR,1222,74,80,117
21167,SIMON MILLER,164,11,13,19
21197,SHANE ARNOLD,,,,
21219,MICHAEL HACKETT,,,,
21229,P ROFF,821,48,73,76
