RaceEntryID,MeetingID,RaceID,RaceNo,RaceName,ClassID,Class,Distance,HorseID,WhoTrainedID,JockeyID,FinishingPosition,ScratchedFlag,TrainerID
1,1686406,2897659,8,Moe Optical (Bm64),224,CLASS2,1100,2633293,240516,225752,0,0,123567
2,1686403,2897632,7,Irresistible Pools/Spas-Bm65,224,CLASS2,1000,2629489,247698,107062,0,0,230292
3,1686403,2897632,7,Irresistible Pools/Spas-Bm65,224,CLASS2,1000,2634651,228714,21268,0,0,7890
4,1686401,2897614,4,Ontoit Global Hcp (C1),224,CLASS2,1400,2636115,246145,21449,0,0,15919
10,1686396,2897564,9,BM 95,38,R5MWQ ,1200,2616725,247484,5833,0,0,230959
11,1686394,2897560,5,Glenlogan Park Stakes,173,G3F&M ,1350,2622613,246659,5833,0,0,230701
12,1686394,2897560,5,Glenlogan Park Stakes,173,G3F&M ,1350,2608121,228628,5833,0,0,23838
13,1686394,2897560,5,Glenlogan Park Stakes,173,G3F&M ,1350,2636664,228945,5833,0,0,1128
14,1686394,2897560,5,Glenlogan Park Stakes,173,G3F&M ,1350,2616567,228693,5833,0,0,123737
15,1686392,2897543,5,Jim Beam Hcp (C2),223,CLASS2,1200,2615523,241405,202,0,0,1781
16,1686392,2897543,5,Jim Beam Hcp (C2),223,CLASS2,1200,2626468,246818,13467,0,0,230742
17,1686391,2897534,3,Tab (Bm75),242,3YR0MW,1250,2625093,228906,107062,0,0,2926
18,1686391,2897534,3,Tab (Bm75),242,3YR0MW,1250,2650785,228922,224247,0,0,222002
19,1686391,2897535,4,Ranvet (Bm75),215,CLASS4,1900,2635482,246659,207549,0,0,230701
20,1686391,2897536,5,#theraces (Bm73),215,CLASS4,1550,2637571,228906,221912,0,0,2926
21,1686391,2897537,6,Vale Don Storey (Bm75),215,CLASS4,1550,2631006,245252,21007,0,0,31854
22,1686391,2897537,6,Vale Don Storey (Bm75),215,CLASS4,1550,2616924,243654,21280,0,0,229840
23,1686391,2897538,7,Bowermans Furniture (Bm75),215,CLASS4,1250,2609645,242974,21007,0,0,16213
24,1686390,2897529,6,Hygain Winner's Choice (Bm78),242,3YR0MW,1000,2641840,228945,226049,0,0,1128
25,1686390,2897529,6,Hygain Winner's Choice (Bm78),242,3YR0MW,1000,2634741,246145,225612,0,0,15919
26,1686382,2897459,7,Wyong Golf Club (Bm68),216,CLASS4,1350,2635782,246143,107854,0,0,29946
28,1686372,2897383,5,Dmax - Built From History (C2),216,CLASS4,1200,2628322,239408,227242,0,1,16211
29,1686372,2897385,7,Country Motor Nowra Cup,157,HCP   ,1600,2635033,228693,3657,3,0,123737
30,1686371,2897372,3,Beraldo Coffee (Bm64),224,CLASS2,1100,2634054,245316,3995,5,0,20004
31,1686371,2897377,8,Cola Solar (Bm64),224,CLASS2,1100,2608117,244358,9357,10,0,22994
32,1686363,2897318,7,Caravaggio @ Coolmore Hcp-C2,216,CLASS4,1450,2633392,246143,10318,0,1,29946
