TrainerID,TrainerName
10,A W NOONAN
40,V W VAGG
144,C J WHITE
204,A J EDMONDS
205,G B ANDREWS
223,S P GOWER
461,N W TILEY
596,S V BROWN
828,L P LUCIANI
900,S W COADY
1128,D K WEIR
1722,G D HICKMAN
1781,T J GOLLAN
1981,R N GODBOLT
2009,G R BACCHUS
2119,MS K DOUGHTY
2377,L F BIRCHLEY
2609,D J MCCARTHY
2626,J M CLEARY
2897,D J HALL
2926,J A O'SHEA
3770,S R BATES
3881,K J LAMPRECHT
3921,B J RATCLIFF
3974,K J PARKER
4062,G R RYAN
4150,J D SADLER
4195,G R NEWHAM
4727,K J MILLER
4803,K M SCHWEIDA
4891,C E CONNERS
4907,R P NORTHAM
4987,G CLARKE
5143,MS G MARKWELL
5197,R S ENGLEBRECHT
5522,J W PRICE
5656,W T WILKES
6146,R R JOLLY
6213,M T EGGLESTON
6595,P STOKES
6972,R E LAING
7341,S BIN SUROOR
7687,T R MARTIN
7888,J N PATEMAN
7890,G A RYAN
8013,M G NOLAN
8209,KEVIN MOSES
8657,S J RICHARDS
8856,M D MORONEY
8882,MS W KELLY
9104,L J TILLEY
9291,C STOTT
9896,B D BELLAMY
9986,MS G WILLIAMS
10258,BARRY CAMPBELL
10482,PETER GELAGOTIS
10545,C J WOOD
10604,R W HUXTABLE
10678,P G CAREY
10679,S F RITCHIE
10743,M J DUNN
10809,A J DENHAM
10860,T J SEARS
10910,D K WELD
10934,D T O'BRIEN
11147,G M BEGG
11160,L J HATCH
11229,L A WRIGHT
11644,R T CARR
11668,JASON MCLACHLAN
11896,MS J GRAHAM
11942,UNKNOWN
12022,D A WILLIAMS
12026,A G SCORSE
12182,R J QUINTON
12222,R L HEATHCOTE
12258,MS H PAGE
12549,MARK F WEBB
12553,R J NUTMAN
12568,ANGELA DAVIES
12698,T J BARTLEY
12756,L D KELLY
12846,J DUNN
13408,M R BLACKIE
14079,J D SHELTON
14192,K M KEYS
14413,N J HARNETT
14481,MS E STREMPEL
14681,MS K CRAFT
14778,MS K ZIMMERMAN
14951,B J LOCKWOOD
15001,O CHILLEMI
15408,P NICEFORO
15466,G DIMITROPOULOS
15532,J F MEAGHER
15919,MS C ALDERSON
16211,JOHN THOMPSON
16213,J G SARGENT
16501,JEROME HUNTER
16930,MICK MILADINOVIC
17248,R J HAIRE
17275,R C LUDWIG
17289,D M RYAN
17580,M P BAKER
17687,G K WHITE
17856,G PORTELLI
18194,C K MARTIN
18535,B D BROOK
18580,T J ROBINSON
18689,R W SMERDON
18953,NICK COX
18970,RYAN BALFOUR
19166,J E BARR
19343,F R KERSLEY
19376,K E HANSEN
19659,S J WOLFE
19752,G R DUNCAN
19983,L G ROSS
19986,D J HANSEN
20004,R D GRIFFITHS
20029,K T MYERS
20181,G L FRAZER
20188,MS S GRILLS
20583,D R HARRISON
20594,T M ANDREWS
20748,G D NEALE
20923,E B MURRAY
21043,D R BRIDEOAKE
21167,K C WOOD
21229,MS G WATERHOUSE
21301,M C KENT
21322,ANDREAS WOHLER
21432,JASON WARREN
21622,J F MOLONEY
21664,P G MOODY
21723,D J CLARKEN
